Title,Date,Favourites,Comments,Views
TD Sky's Celtics vs Zoey's 76ers,August 26 2020,18,5,42
TD Beth's Raptors vs Heather's Nets,August 24 2020,46,9,153
Carrie Possessed (Vector),August 9 2020,30,4,258
Smexy Zoey (Vector),August 8 2020,60,8,219
Leshawna in Courtney Outfit (Vector),August 3 2020,51,10,207
Kitty in China,August 1 2020,87,14,198
Dawn in Courtney Outfit (Vector),July 26 2020,79,10,470
TD Zoey and Courtney in Miami (Work),July 12 2020,98,19,548
AleGwen with her Animal Crossing Friend (Birthday),July 6 2020,18,4,114
Veronica Formal Dress Red Carpet (Gift),June 30 2020,46,4,137
Kill Alejandro Comic Cover,June 8 2020,35,2,181
Total Drama Fear Factor Comic Page 3 (Comm),June 7 2020,28,4,326
Anne Maria Tiger Back Bikini Pose (Vector),May 31 2020,91,3,689
Total Drama Fear Factor Comic Page 2 (Comm),May 30 2020,46,4,486
Star Wars Zoey Background Screen,May 24 2020,84,14,348
Dakota as Mai Shiranui 2 (Vector),April 26 2020,88,2,397
Total Drama Fear Factor Comic Page 1 (Comm),April 26 2020,48,6,773
Kill Chris 2 Movie Poster,April 17 2020,75,9,300
Kill Chris Movie Poster,April 15 2020,89,14,374
Dakota Sit Pose 1 (Vector),April 3 2020,120,8,1000
Carrie Bikini Back Pose 2 (Vector),March 29 2020,79,9,396
Akira Birthday Girl + Car (Gift),March 26 2020,31,1,161
TD Jaguar F-Type Convertible (Vector),March 25 2020,20,1,112
TD 1971 Ford Mustang Mach 1 (Vector),March 22 2020,31,8,147
Ruby and Gray in Hawaii (Commission),March 12 2020,45,11,417
Anne Maria Formal Dress (Remake),March 1 2020,90,11,504
My 2018 Interview with Allie (Youtube Video),February 27 2020,20,4,149
TD OC Yulian (Present),February 21 2020,50,7,232
TD OC Jenny (Present),February 21 2020,49,1,211
Mystere to Heather (Gif Work),February 16 2020,92,8,959
TD Superhero: Mystere (OC),February 15 2020,40,3,211
Bridgette in Courtney Outfit (Vector),February 14 2020,101,12,970
Sky in Courtney Outfit (Vector),February 13 2020,144,11,1000
TD Shopping Out (Comm),February 12 2020,96,10,1000
Heather in Courtney Outfit (Vector),February 4 2020,145,9,1000
Carrie in Courtney Outfit (Vector),January 29 2020,85,8,688
Taylor in Courtney Outfit (Vector),January 29 2020,127,10,1000
Gwen in Courtney Outfit (Vector),January 27 2020,192,20,1000
Katie in Courtney Outfit (Vector),January 26 2020,182,15,1000
Emma in Different Outfit (Vector),January 26 2020,130,9,1000
Lindsay in Different Outfit (Vector),January 25 2020,298,19,2000
B x Duncan Love Art,January 24 2020,26,3,175
Anne Maria in Courtney Outfit (Vector),January 20 2020,137,11,1000
Sleeping Jo (Vector),January 13 2020,45,3,489
My TD/RR Characters Drawing Tier List,January 10 2020,10,8,391
My TD/RR Characters Tier List,January 10 2020,16,15,337
Gordon's 2019 Art Summary,December 31 2019,15,7,162
Bridgette Ferrari California (Commission),December 27 2019,82,5,536
TD OC Kona Christmas (Commission),December 23 2019,62,8,388
Gwen as Green Elf (Commission),December 19 2019,150,11,1000
Zoey as Christmas Angel (Commission),December 19 2019,155,14,1000
TD Superhero Comic Page 5/5 (Commission),December 16 2019,12,3,166
TD Superhero Comic Page 4/5 (Commission),December 16 2019,12,1,135
TD Superhero Comic Page 3/5 (Commission),December 16 2019,14,1,113
TD Superhero Comic Page 2/5 (Commission),December 16 2019,14,1,144
TD Superhero Comic Page 1/5 (Commission),December 16 2019,12,6,146
Courtney Crouch Pose,December 9 2019,29,2,204
Courtney Fight Walking Animation (Updated),November 26 2019,15,5,235
Basic Courtney Kick Animation,November 26 2019,22,11,166
Basic Courtney Punch Animation,November 22 2019,49,22,592
Dakota Hawks NBA 2K20 Card,October 5 2019,67,9,488
Zoey Rockets Custom NBA 2K20 Card (Version 2),October 1 2019,41,2,281
Zoey Rockets Custom NBA 2K20 Card,September 26 2019,94,12,587
Dakota as Mai Shiruanui (Vector),September 2 2019,91,12,689
Just listen to this... (Commission),May 26 2019,109,18,2000
TD Chrysler ME 412 (Comm),April 27 2019,21,6,288
Emeline OC Pose 1(Comm),April 23 2019,34,1,250
TD Dawn (Comm),April 23 2019,104,11,1000
Emeline OC (Comm),April 23 2019,29,2,243
TD Rolls Royce Phantom (Comm),March 24 2019,20,3,206
TD OC Pung Yu (Comm),March 18 2019,21,4,243
TD OC Win Bo (Comm),March 15 2019,37,7,276
Brick x FogFra War Love (Present),March 10 2019,68,10,997
TD Courtney Vs. Zoey- Who's Thiccker? (Comm),March 8 2019,178,26,5000
Heather vs Zoey + Gwen (Comm),February 27 2019,129,24,2000
TD Aston Marin DB9 (Vector),February 26 2019,19,5,253
Courtney Aston Martin Drive (Gift),February 21 2019,84,16,703
TD OC Warren (Comm),February 19 2019,13,5,163
Noah x Emma Valentine Quick Pic,February 13 2019,108,23,1000
TD OC Jin + Kiki + Veronica (Comm),February 4 2019,19,3,268
TD Aladdin Dance Scene (Comm),February 2 2019,174,18,2000
Dakota GTA 5 Cover,January 24 2019,167,14,2000
TD Brick Soldier (Comm),January 19 2019,65,29,1000
TD OC Veronika Orlov (Commission),January 17 2019,38,7,345
Devin + Scott Aladdin (NSFW Comm),January 15 2019,29,7,896
Carrie Hot Pose 3 (Vector),December 31 2018,137,24,2000
Anne Maria Zebra Dress (Commission),December 29 2018,74,12,720
Gwen + Zoey Winter Outfit (Commission),December 27 2018,203,17,4000
Gordon's 2018 Art Summary,December 26 2018,27,9,311
Courtney + Tom (NSFW Commission),December 26 2018,21,5,538
Drowned Ophelia OC (Commission),December 22 2018,21,6,250
Ophelia OC (Commission),December 18 2018,34,5,224
Lindsay NBA (Vector),December 16 2018,125,5,1000
Jasmine NBA (Vector),December 16 2018,70,2,758
Taylor NBA (Vector),December 16 2018,76,3,1000
Anne Maria NBA (Vector),December 16 2018,71,3,798
Heather NBA (Vector),December 16 2018,74,2,717
Sky NBA (Vector),December 16 2018,82,6,1000
Sanders NBA (Vector),December 16 2018,42,2,470
Carrie NBA (Vector),December 16 2018,53,2,483
Gwen NBA (Vector),December 16 2018,156,5,1000
Dawn NBA (Vector),December 16 2018,123,9,1000
TD NBA Poster - Gordon003 vs Imfamous E,December 16 2018,86,21,1000
Lindsay Hornets NBA 2K19 Card,December 16 2018,204,18,2000
Jasmine Spurs NBA2K19 Card,December 11 2018,75,17,785
Christmas Date (Commission),December 9 2018,71,10,1000
Taylor Lakers NBA 2K19 Card,December 7 2018,82,20,1000
Kitty + Kenzo Nissan 330zx (Commission),December 7 2018,15,6,347
Yakito + His Toyota Supras (Commission),December 5 2018,17,16,243
Anne Maria Knicks NBA 2K19 Card,December 1 2018,71,8,719
Heather Bulls NBA 2K19 Card,November 30 2018,108,8,1000
Sky Celtics NBA 2K19 Card,November 29 2018,117,14,1000
