Title,Favourites,Comments, Link
TD Sander's Bucks vs Carrie's Magics,20,1,https://www.deviantart.com/gordon003/art/TD-Sander-s-Bucks-vs-Carrie-s-Magics-853779604
TD Bridgette's Heats vs Eva's Pacers,38,3,https://www.deviantart.com/gordon003/art/TD-Bridgette-s-Heats-vs-Eva-s-Pacers-853517036
Heather as Kitana from Mortal Kombat,84,2,https://www.deviantart.com/gordon003/art/Heather-as-Kitana-from-Mortal-Kombat-853410352
TD Sky's Celtics vs Zoey's 76ers,45,7,https://www.deviantart.com/gordon003/art/TD-Sky-s-Celtics-vs-Zoey-s-76ers-853184130
TD Beth's Raptors vs Heather's Nets,49,10,https://www.deviantart.com/gordon003/art/TD-Beth-s-Raptors-vs-Heather-s-Nets-853003655
Carrie Possessed (Vector),31,4,https://www.deviantart.com/gordon003/art/Carrie-Possessed-Vector-851468299
Smexy Zoey (Vector),62,8,https://www.deviantart.com/gordon003/art/Smexy-Zoey-Vector-851357718
Leshawna in Courtney Outfit (Vector),52,10,https://www.deviantart.com/gordon003/art/Leshawna-in-Courtney-Outfit-Vector-850780628
Kitty in China,88,14,https://www.deviantart.com/gordon003/art/Kitty-in-China-850615701
Dawn in Courtney Outfit (Vector),81,10,https://www.deviantart.com/gordon003/art/Dawn-in-Courtney-Outfit-Vector-849950214
TD Zoey and Courtney in Miami (Work),100,19,https://www.deviantart.com/gordon003/art/TD-Zoey-and-Courtney-in-Miami-Work-848493747
AleGwen with her Animal Crossing Friend (Birthday),18,4,https://www.deviantart.com/gordon003/art/AleGwen-with-her-Animal-Crossing-Friend-Birthday-847857218
Veronica Formal Dress Red Carpet (Gift),46,4,https://www.deviantart.com/gordon003/art/Veronica-Formal-Dress-Red-Carpet-Gift-847209701
Kill Alejandro Comic Cover,35,2,https://www.deviantart.com/gordon003/art/Kill-Alejandro-Comic-Cover-844779187
Total Drama Fear Factor Comic Page 3 (Comm),28,4,https://www.deviantart.com/gordon003/art/Total-Drama-Fear-Factor-Comic-Page-3-Comm-844658346
Anne Maria Tiger Back Bikini Pose (Vector),92,3,https://www.deviantart.com/gordon003/art/Anne-Maria-Tiger-Back-Bikini-Pose-Vector-843910706
Total Drama Fear Factor Comic Page 2 (Comm),46,4,https://www.deviantart.com/gordon003/art/Total-Drama-Fear-Factor-Comic-Page-2-Comm-843793499
Star Wars Zoey Background Screen,86,14,https://www.deviantart.com/gordon003/art/Star-Wars-Zoey-Background-Screen-843095262
Dakota as Mai Shiranui 2 (Vector),88,2,https://www.deviantart.com/gordon003/art/Dakota-as-Mai-Shiranui-2-Vector-839445009
Total Drama Fear Factor Comic Page 1 (Comm),48,6,https://www.deviantart.com/gordon003/art/Total-Drama-Fear-Factor-Comic-Page-1-Comm-839418266
Kill Chris 2 Movie Poster,76,9,https://www.deviantart.com/gordon003/art/Kill-Chris-2-Movie-Poster-838164667
Kill Chris Movie Poster,89,14,https://www.deviantart.com/gordon003/art/Kill-Chris-Movie-Poster-837915239
Dakota Sit Pose 1 (Vector),120,8,https://www.deviantart.com/gordon003/art/Dakota-Sit-Pose-1-Vector-836326560
Carrie Bikini Back Pose 2 (Vector),79,9,https://www.deviantart.com/gordon003/art/Carrie-Bikini-Back-Pose-2-Vector-835610453
Akira Birthday Girl + Car (Gift),31,1,https://www.deviantart.com/gordon003/art/Akira-Birthday-Girl-Car-Gift-835238576
