Title,Date,Favourites,Comments,Views,Link
TD Sander's Bucks vs Carrie's Magics,2020,21,2,41,https://www.deviantart.com/gordon003/art/TD-Sander-s-Bucks-vs-Carrie-s-Magics-853779604
TD Bridgette's Heats vs Eva's Pacers,2020,38,3,114,https://www.deviantart.com/gordon003/art/TD-Bridgette-s-Heats-vs-Eva-s-Pacers-853517036
Heather as Kitana from Mortal Kombat,2020,85,3,159,https://www.deviantart.com/gordon003/art/Heather-as-Kitana-from-Mortal-Kombat-853410352
TD Sky's Celtics vs Zoey's 76ers,2020,45,7,142,https://www.deviantart.com/gordon003/art/TD-Sky-s-Celtics-vs-Zoey-s-76ers-853184130
TD Beth's Raptors vs Heather's Nets,2020,49,10,192,https://www.deviantart.com/gordon003/art/TD-Beth-s-Raptors-vs-Heather-s-Nets-853003655
Carrie Possessed (Vector),2020,31,4,282,https://www.deviantart.com/gordon003/art/Carrie-Possessed-Vector-851468299
Smexy Zoey (Vector),2020,62,8,241,https://www.deviantart.com/gordon003/art/Smexy-Zoey-Vector-851357718
Leshawna in Courtney Outfit (Vector),2020,52,10,221,https://www.deviantart.com/gordon003/art/Leshawna-in-Courtney-Outfit-Vector-850780628
Kitty in China,2020,88,14,217,https://www.deviantart.com/gordon003/art/Kitty-in-China-850615701
Dawn in Courtney Outfit (Vector),2020,81,10,505,https://www.deviantart.com/gordon003/art/Dawn-in-Courtney-Outfit-Vector-849950214
TD Zoey and Courtney in Miami (Work),2020,100,19,571,https://www.deviantart.com/gordon003/art/TD-Zoey-and-Courtney-in-Miami-Work-848493747
Veronica Formal Dress Red Carpet (Gift),2020,46,4,141,https://www.deviantart.com/gordon003/art/Veronica-Formal-Dress-Red-Carpet-Gift-847209701
Kill Alejandro Comic Cover,2020,35,2,188,https://www.deviantart.com/gordon003/art/Kill-Alejandro-Comic-Cover-844779187
Anne Maria Tiger Back Bikini Pose (Vector),2020,92,3,724,https://www.deviantart.com/gordon003/art/Anne-Maria-Tiger-Back-Bikini-Pose-Vector-843910706
Star Wars Zoey Background Screen,2020,86,14,358,https://www.deviantart.com/gordon003/art/Star-Wars-Zoey-Background-Screen-843095262
Dakota as Mai Shiranui 2 (Vector),2020,88,2,406,https://www.deviantart.com/gordon003/art/Dakota-as-Mai-Shiranui-2-Vector-839445009
Total Drama Fear Factor Comic Page 1 (Comm),2020,48,6,797,https://www.deviantart.com/gordon003/art/Total-Drama-Fear-Factor-Comic-Page-1-Comm-839418266
Kill Chris 2 Movie Poster,2020,76,9,307,https://www.deviantart.com/gordon003/art/Kill-Chris-2-Movie-Poster-838164667
Kill Chris Movie Poster,2020,89,14,379,https://www.deviantart.com/gordon003/art/Kill-Chris-Movie-Poster-837915239
Dakota Sit Pose 1 (Vector),2020,120,8,1000,https://www.deviantart.com/gordon003/art/Dakota-Sit-Pose-1-Vector-836326560
Carrie Bikini Back Pose 2 (Vector),2020,79,9,407,https://www.deviantart.com/gordon003/art/Carrie-Bikini-Back-Pose-2-Vector-835610453
Akira Birthday Girl + Car (Gift),2020,31,1,167,https://www.deviantart.com/gordon003/art/Akira-Birthday-Girl-Car-Gift-835238576
TD Jaguar F-Type Convertible (Vector),2020,20,1,118,https://www.deviantart.com/gordon003/art/TD-Jaguar-F-Type-Convertible-Vector-835075628
TD 1971 Ford Mustang Mach 1 (Vector),2020,31,8,155,https://www.deviantart.com/gordon003/art/TD-1971-Ford-Mustang-Mach-1-Vector-834726100
Ruby and Gray in Hawaii (Commission),2020,45,11,429,https://www.deviantart.com/gordon003/art/Ruby-and-Gray-in-Hawaii-Commission-833547546
Anne Maria Formal Dress (Remake),2020,90,11,516,https://www.deviantart.com/gordon003/art/Anne-Maria-Formal-Dress-Remake-832266089
My 2018 Interview with Allie (Youtube Video),2020,20,4,154,https://www.deviantart.com/gordon003/art/My-2018-Interview-with-Allie-Youtube-Video-831919999
TD OC Yulian (Present),2020,50,7,237,https://www.deviantart.com/gordon003/art/TD-OC-Yulian-Present-831185851
TD OC Jenny (Present),2020,49,1,217,https://www.deviantart.com/gordon003/art/TD-OC-Jenny-Present-831185531
Mystere to Heather (Gif Work),2020,92,8,980,https://www.deviantart.com/gordon003/art/Mystere-to-Heather-Gif-Work-830648978
TD Superhero: Mystere (OC),2020,40,3,216,https://www.deviantart.com/gordon003/art/TD-Superhero-Mystere-OC-830528619
Bridgette in Courtney Outfit (Vector),2020,101,12,990,https://www.deviantart.com/gordon003/art/Bridgette-in-Courtney-Outfit-Vector-830401441
Sky in Courtney Outfit (Vector),2020,144,11,1000,https://www.deviantart.com/gordon003/art/Sky-in-Courtney-Outfit-Vector-830290892
TD Shopping Out (Comm),2020,98,10,1000,https://www.deviantart.com/gordon003/art/TD-Shopping-Out-Comm-830183323
Heather in Courtney Outfit (Vector),2020,147,9,1000,https://www.deviantart.com/gordon003/art/Heather-in-Courtney-Outfit-Vector-829274140
